idPesanan,batchId
301,P1-20251112-03D3BC5C
302,P1-20251112-0B5B216A
303,P1-20251112-1701AA2C
304,P1-20251112-171F8BED
305,P1-20251112-25269C70
306,P1-20251112-2607DCB4
307,P1-20251112-3F29AF46
308,P1-20251112-598FA60F
309,P1-20251112-6516D929
310,P1-20251112-6BC2D83E
311,P1-20251112-6D8D7624
312,P1-20251112-6DD2AC3E
313,P1-20251112-716386FF
314,P1-20251112-85B966CF
315,P1-20251112-99BF7F89
316,P1-20251112-9DD0BFDC
317,P1-20251112-AA1F23F6
318,P1-20251112-B21F41C0
319,P1-20251112-BA7F26FA
320,P1-20251112-BBC58564
321,P1-20251112-C939EA2D
322,P1-20251112-CC7025CD
323,P1-20251112-D35578B8
324,P1-20251112-E332653D
325,P1-20251112-E94B33E3
